Date,Open,High,Low,Close,Volume
11/2/2015,322.95,365.75,319.75,359.28,0
11/3/2015,359.28,416.78,354.58,396.49,0
11/4/2015,396.49,492.8,368.62,400.89,0
11/5/2015,400.89,447.24,366.08,382.7,0
11/6/2015,382.7,396.35,348.84,369.81,0
11/7/2015,369.81,391.75,368.98,385.09,0
11/8/2015,385.09,389.78,365.49,371.56,0
11/9/2015,371.56,385.11,360.17,380.22,0
11/10/2015,380.22,381.38,323.21,336.69,0
11/11/2015,336.69,341.76,292.38,304.71,0
11/12/2015,304.71,346.13,304.71,333.85,0
11/13/2015,333.85,341.79,323.91,333.77,0
11/14/2015,333.77,369.8,326.35,331.77,0
11/15/2015,331.77,334.78,314.16,317.45,0
11/16/2015,317.45,332.01,314.06,330.21,0
11/17/2015,330.21,342.91,328.15,333.91,0
11/18/2015,333.91,337.39,329.42,335.92,0
11/19/2015,335.92,335.92,323.36,324.98,0
11/20/2015,324.98,327.06,309.48,321.12,0
11/21/2015,321.12,328.42,318.37,324.7,0
11/22/2015,324.7,326.94,319.35,322.78,0
11/23/2015,322.78,325,319.89,322.12,0
11/24/2015,322.12,323.26,315.54,318.35,0
11/25/2015,318.35,330.04,315.69,327.52,0
11/26/2015,327.52,368.92,327.4,353.74,0
11/27/2015,353.74,363.9,345.15,359.52,0
11/28/2015,359.52,360.08,350.49,355.83,0
11/29/2015,355.83,372.84,354.55,370.84,0
11/30/2015,370.84,382.56,367.87,377.97,0
12/1/2015,377.97,379.02,353.66,361.8,0
12/2/2015,361.8,363.43,347.16,359.98,0
12/3/2015,359.98,371.37,355.47,360.31,0
12/4/2015,360.31,363.95,354.31,361.67,0
12/5/2015,361.67,390.28,361.5,386.69,0
12/6/2015,386.69,402.19,382.62,393.38,0
12/7/2015,393.38,398.74,381.69,394.28,0
12/8/2015,394.28,411.07,388.03,410.67,0
12/9/2015,410.67,424.58,403.26,416,0
12/10/2015,416,420.36,409.53,415.49,0
12/11/2015,415.49,453.37,413.72,449.83,0
12/12/2015,449.83,467.71,403.69,432.29,0
12/13/2015,432.29,440.97,420.76,434.69,0
12/14/2015,434.69,449.45,428.84,442,0
12/15/2015,442,464.23,440.72,462.65,0
12/16/2015,462.65,465.16,437.37,453.98,0
12/17/2015,453.98,458.44,447.29,455.53,0
12/18/2015,455.53,466.12,453.46,463.18,0
12/19/2015,463.18,465.99,452.33,461.2,0
12/20/2015,461.2,462.76,431.1,441.78,0
12/21/2015,441.78,445.54,423.99,437.59,0
12/22/2015,437.59,443.22,433.25,437.03,0
12/23/2015,437.03,444.78,434.28,442.43,0
12/24/2015,442.43,460.62,441.76,452.98,0
12/25/2015,452.98,457.44,449.52,454.05,0
12/26/2015,454.05,456.48,400.45,415.37,0
12/27/2015,415.37,425.51,406.09,422.39,0
12/28/2015,422.39,429.85,417.14,421.76,0
12/29/2015,421.76,433.56,419.3,431.92,0
12/30/2015,431.92,435.04,420.77,427.15,0
12/31/2015,427.15,433.12,417.14,429.95,0
1/1/2016,429.95,437.95,425.86,433.99,0
1/2/2016,433.99,437.43,430.73,433.72,0
1/3/2016,433.72,434.14,423.09,430.7,0
1/4/2016,430.7,435.26,428.6,433.32,0
1/5/2016,433.32,435.25,428.87,431.2,0
1/6/2016,431.2,432.11,425,430.82,0
1/7/2016,430.82,457.54,428.52,457.05,0
1/8/2016,457.05,462.92,446.51,452.87,0
1/9/2016,452.87,454.55,444.9,448.31,0
1/10/2016,448.31,448.88,438.62,446.19,0
1/11/2016,446.19,451.08,441.77,447.72,0
1/12/2016,447.72,448.41,443.14,445.04,0
1/13/2016,445.04,445.04,420.39,432.18,0
1/14/2016,432.18,433.74,427.01,429.13,0
1/15/2016,429.13,430.15,364.71,372.26,0
1/16/2016,372.26,386.72,350.39,385.04,0
1/17/2016,385.04,390.72,377.71,382.47,0
1/18/2016,382.47,387.29,373.21,384.4,0
1/19/2016,384.4,386.69,375.89,379.46,0
1/20/2016,379.46,425.72,374.05,414.58,0
1/21/2016,414.58,423.42,403.86,410.24,0
1/22/2016,410.24,411.49,374.9,382.65,0
1/23/2016,382.65,395.43,380.27,388.61,0
1/24/2016,388.61,405.4,385.53,402.13,0
1/25/2016,402.13,403.78,386.85,392.76,0
1/26/2016,392.76,397.74,387.9,389.78,0
1/27/2016,389.78,397.37,389.35,395.02,0
1/28/2016,395.02,395.42,376.71,379.69,0
1/29/2016,379.69,385.75,363.49,380.29,0
1/30/2016,380.29,381.75,375.04,377.76,0
1/31/2016,377.76,380.54,366.88,369.84,0
2/1/2016,369.84,379.78,365.27,372.18,0
2/2/2016,372.18,376.63,371.4,373.92,0
2/3/2016,373.92,375.89,366.2,368.02,0
2/4/2016,368.02,391.83,368.02,390.65,0
2/5/2016,390.65,391.15,384.48,386.46,0
2/6/2016,386.46,386.46,372.87,376.68,0
2/7/2016,376.68,382.61,375.28,377.94,0
2/8/2016,377.94,380.92,372.1,372.63,0
2/9/2016,372.63,377.59,371.42,375.32,0
2/10/2016,375.32,385.38,374.09,381.88,0
2/11/2016,381.88,383.23,372.75,379.45,0
2/12/2016,379.45,386.4,379.32,384.04,0
2/13/2016,384.04,392.57,383.31,390.1,0
2/14/2016,390.1,405.93,390.06,405.5,0
2/15/2016,405.5,410.85,396.56,401.07,0
2/16/2016,401.07,409.75,398,406.42,0
2/17/2016,406.42,421.45,405.05,417.14,0
2/18/2016,417.14,425.51,414.78,421.4,0
2/19/2016,421.4,424.26,416.36,419.98,0
2/20/2016,419.98,442.66,419.49,440.06,0
2/21/2016,440.06,447.61,425.47,437.87,0
2/22/2016,437.87,440.18,431.3,437.79,0
2/23/2016,437.79,440.76,414.36,419.9,0
2/24/2016,419.9,425.17,410.36,422.72,0
2/25/2016,422.72,427.18,417.51,423.48,0
2/26/2016,423.48,427.58,419.11,427.32,0
2/27/2016,427.32,434.14,427.3,431.3,0
2/28/2016,431.3,435.62,421.22,432.47,0
2/29/2016,432.47,441.32,429.83,436.21,0
3/1/2016,436.21,439.02,428.49,434.04,0
3/2/2016,434.04,435.91,423.85,425.36,0
3/3/2016,425.36,425.83,414.94,419.56,0
3/4/2016,419.56,423.39,407.2,409.48,0
3/5/2016,409.48,410.06,386.93,399,0
3/6/2016,399,412.02,393.09,405.96,0
3/7/2016,405.96,416.58,401.98,414.87,0
3/8/2016,414.87,416.72,408.42,411.9,0
3/9/2016,411.9,414.88,408.94,412.76,0
3/10/2016,412.76,417.48,410.27,415.83,0
