Date,Open,High,Low,Close
11/2/2015,1140.95,1143.2,1132.9,1134.72
11/3/2015,1135.11,1138.54,1114.87,1117.93
11/4/2015,1121.6,1123.11,1106.66,1107.95
11/5/2015,1108.85,1111.77,1103.26,1104.63
11/6/2015,1106.15,1110.71,1085.78,1088.36
11/9/2015,1089.94,1095.83,1088.79,1092.28
11/10/2015,1091.57,1094.87,1085.7,1090.32
11/11/2015,1089.69,1093.86,1084.42,1086.46
11/12/2015,1087.79,1089.81,1074.51,1085.8
11/13/2015,1085.06,1088.64,1079.98,1082.07
11/16/2015,1090.33,1098.24,1081.67,1083.94
11/17/2015,1084.07,1084.95,1065.63,1071.24
11/18/2015,1068.6,1075.73,1065,1070.7
11/19/2015,1073.67,1087.42,1069.93,1082.07
11/20/2015,1082.39,1088.25,1076.15,1077.73
11/23/2015,1075.84,1076.02,1067.09,1068.63
11/24/2015,1070.34,1081.27,1069.9,1075.6
11/25/2015,1076.67,1080.94,1068.25,1072.13
11/26/2015,1071.97,1075.1,1069.96,1072.22
11/27/2015,1073.3,1074,1052.87,1058.63
11/30/2015,1057.57,1069.98,1053.51,1064.66
12/1/2015,1064.92,1074.77,1063.4,1069.24
12/2/2015,1070.35,1070.65,1051,1054.13
12/3/2015,1053.95,1065.69,1046.64,1061.79
12/4/2015,1064.41,1089.09,1058.53,1087.07
12/7/2015,1084.64,1086.88,1067.12,1071.34
12/8/2015,1072.3,1079.23,1068.02,1075.03
12/9/2015,1076.27,1085.5,1069.92,1073.22
12/10/2015,1073.24,1076.68,1069.69,1072.08
12/11/2015,1070.61,1079.66,1062.79,1077.26
12/14/2015,1072.81,1077.62,1059.01,1060.19
12/15/2015,1063.74,1068.68,1059.7,1061.73
12/16/2015,1062.5,1078.58,1062.29,1072.26
12/17/2015,1071.09,1073.21,1048.03,1051.58
12/18/2015,1053.45,1071.3,1051.49,1066.65
12/21/2015,1064.42,1081.86,1064.19,1080.28
12/22/2015,1078.52,1081,1072.01,1072.47
12/23/2015,1073.62,1075.73,1068.37,1071.13
12/24/2015,1072.31,1077.16,1071.48,1076.88
12/28/2015,1076.6,1076.64,1066.77,1069.83
12/29/2015,1068.99,1075.52,1067.77,1069.11
12/30/2015,1069.17,1072.47,1059.71,1061.53
12/31/2015,1061.77,1063.66,1058.81,1061.46
1/4/2016,1064.65,1083.73,1062.61,1074.42
1/5/2016,1075.42,1082.29,1074.77,1077.94
1/6/2016,1077.97,1095.43,1075.28,1093.77
1/7/2016,1093.55,1110.16,1091.69,1109.92
1/8/2016,1109.5,1109.5,1093.44,1103.96
1/11/2016,1106.95,1108.49,1093.97,1094.56
1/12/2016,1096.23,1099.44,1083.83,1086.41
1/13/2016,1086.51,1095.67,1080.08,1093.66
1/14/2016,1094.58,1095.39,1071.68,1079.23
1/15/2016,1077.59,1097.45,1076.55,1088.11
1/18/2016,1091,1093.53,1087.82,1089.1
1/19/2016,1089,1094.53,1083.21,1087.83
1/20/2016,1089.5,1109.22,1088.83,1101.32
1/21/2016,1099.13,1104.6,1092.84,1101.41
1/22/2016,1100.03,1102.85,1094.16,1097.66
1/25/2016,1098.47,1109.2,1098.14,1107.95
1/26/2016,1108.34,1123.21,1108.15,1120.08
1/27/2016,1120.91,1128.11,1115.01,1125.06
1/28/2016,1123.26,1123.8,1111.66,1115.13
1/29/2016,1114.88,1118.48,1108.78,1117.69
2/1/2016,1117.94,1130.01,1117.23,1127.9
2/2/2016,1129.89,1130.26,1122.48,1129.07
2/3/2016,1126.71,1145.74,1124.56,1142.65
2/4/2016,1141.95,1157.64,1139.92,1156.09
2/5/2016,1153.52,1174.79,1145.53,1173.45
2/8/2016,1167.24,1201.11,1164.57,1189.42
2/9/2016,1191.63,1199.19,1186.01,1189.08
2/10/2016,1190.44,1198.04,1181.78,1195.8
2/11/2016,1205.3,1263.13,1204.99,1247.25
2/12/2016,1240.66,1246.31,1232.78,1238.61
2/15/2016,1232.78,1232.8,1202.2,1209.52
2/16/2016,1207.65,1217.23,1191.19,1200.8
2/17/2016,1197.76,1213.86,1195.97,1209.41
2/18/2016,1207.99,1240.02,1201.04,1230.9
2/19/2016,1230.75,1234.75,1220.08,1229.46
2/22/2016,1224.08,1226.46,1202.27,1208.38
2/23/2016,1208.44,1228.43,1208.11,1226.09
2/24/2016,1230.11,1253.41,1222.2,1228.87
2/25/2016,1226.84,1243,1226.01,1233.17
2/26/2016,1236.28,1240.4,1211.56,1224.01
2/29/2016,1222.41,1241.3,1220.46,1238.86
3/1/2016,1240.49,1248.77,1227.48,1232.66
3/2/2016,1231.44,1244.23,1225.02,1239.83
3/3/2016,1239.49,1268.55,1237.72,1264.87
3/4/2016,1260.2,1279.97,1250.78,1261.55
3/7/2016,1264.23,1273.43,1257.12,1267.54
3/8/2016,1269.38,1278.16,1260.51,1261.67
3/9/2016,1261.83,1265.19,1243.26,1253.93
3/10/2016,1252.87,1273.42,1237.15,1272.29
3/11/2016,1271.05,1283.04,1248.87,1250.22
3/14/2016,1251.21,1261.29,1229.61,1233.94
3/15/2016,1235.54,1238.32,1226.27,1233.46
3/16/2016,1232.9,1264.16,1226.95,1260.7
3/17/2016,1260.25,1271.2,1254.72,1257.17
3/18/2016,1259.28,1267.09,1248.16,1255.67
3/21/2016,1255.64,1255.93,1240.97,1243.69
3/22/2016,1244.06,1260.18,1242.7,1248.76
3/23/2016,1247.86,1249.64,1215.64,1222.44
3/24/2016,1222.87,1223.99,1212.96,1217.18
